Title,Authors,Published,DOI,Published_In,Referenced_By
Recovering test-to-code traceability using slicing and textual analysis,"Abdallah, Gabriele, Rocco, Andrea, Dave",2014-2,10.1016/j.jss.2013.10.019,Journal of Systems and Software,
Recovering traceability links between unit tests and classes under test: An improved method,"Abdallah, Rocco, Andrea",2010-9,10.1109/ICSM.2010.5609581,2010 IEEE International Conference on Software Maintenance,
Reducing Mutants with Mutant Killable Precondition,"Chihiro, Shingo",2017-3,10.1109/ICSTW.2017.29,"2017 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",
Reducing the Cost of Mutation Testing: An Empirical Study,"Wong, W.E. and Mathur, A.P.",1995,,Journal of Systems and Software,Inozemtseva2013
Reducing the cost of mutation testing: An empirical study,"W.Eric, Aditya P.",1995-12,10.1016/0164-1212(94)00098-0,Journal of Systems and Software,
Reduction of test suites using mutation,"Usaola, M.P. and Mateo, P.R. and Lamancha, B.P.",2012,,"Fundamental Approaches to Software Engineering, Lecture Notes in Computer Science",Tengeri2016
Refactoring test code,"Deursen, A. and Moonen, L. and Bergh, A. and Kok, G.",2001,,,Bowes2017
Regression Mutation Testing,"Zhang, L. and Marinov, D. and Zhang, L. and Khurshid, S.",2012,,Proceedings of the 2012 International Symposium on Software Testing and Analysis - ISSTA 2012,Inozemtseva2013
Regression mutation testing,"Lingming, Darko, Lu, Sarfraz",2012,10.1145/2338965.2336793,Proceedings of the 2012 International Symposium on Software Testing and Analysis - ISSTA 2012,
Regression test selection for Java software,"Mary Jean, James A., Tongyu, Donglin, Ashish",2001,10.1145/504282.504305,"Proceedings of the 16th ACM SIGPLAN conference on Object oriented programming, systems, languages, and applications  - OOPSLA '01",
Regression test selection for java software,"Harrold, M.J. and Jones, J.A. and Li, T. and Liang, D. and Orso, A. and Pennings, M. and Sinha, S. and Spoon, S.A. and Gujarathi, A.",2001,,,Zhang2012
Regression testing,"Kapfhammer, G.M.",2010,,SpringerReference,McMinn2019
"Regression testing minimization, selection and prioritization: A survey","Yoo, S. and Harman, M.",2012,,,Gligoric2017
"Regression testing minimization, selection and prioritization: a survey","S., M.",2012-2-23,10.1002/stv.430,"Software Testing, Verification and Reliability",
"Relating Code Coverage, Mutation Score and Test Suite Reducibility to Defect Density","David, Laszlo, Arpad, Judit, Gergo, Bela, Tibor",2016-4,10.1109/ICSTW.2016.25,"2016 IEEE Ninth International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",
Residual test coverage monitoring,"Pavlopoulou, C. and Young, M.",1999,,Proceedings of the 21st international conference on Software engineering - ICSE '99,Wang2017
Rethinking computer science education from a test-first perspective,Stephen H.,2003,10.1145/949344.949390,"Companion of the 18th annual ACM SIGPLAN conference on Object-oriented programming, systems, languages, and applications  - OOPSLA '03",
"Revisiting the relationship between fault detection, test adequacy criteria, and test set size","Yiqun T., Rahul, Anita, Michael D., Reid, Gordon, Paul, René",2020-12-21,10.1145/3324884.3416667,Proceedings of the 35th IEEE/ACM International Conference on Automated Software Engineering,
Robotic Testing of Mobile Apps for Truly Black-Box Automation,"Ke, Mark, Yue",2017-3,10.1109/MS.2017.49,IEEE Software,
Rostra: A framework for detecting redundant object-oriented unit tests,"Xie, T. and Marinov, D. and Notkin, D.",2004-09,,"Proceedings. 19th International Conference on Automated Software Engineering, 2004.",Xie2006
Running students' software tests against each others' code,"Stephen H., Zalia, Michael, Robert C.",2012,10.1145/2157136.2157202,Proceedings of the 43rd ACM technical symposium on Computer Science Education - SIGCSE '12,
SPLat: lightweight dynamic analysis for reducing combinatorics in testing configurable systems,"Chang Hwan Peter, Darko, Sarfraz, Don, Sabrina, Paulo, Marcelo",2013,10.1145/2491411.2491459,Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering - ESEC/FSE 2013,
Sampling Program Inputs with Mutation Analysis: Going Beyond Combinatorial Interaction Testing,"Mike, Christopher, Yves Le",2014-3,10.1109/ICST.2014.11,"2014 IEEE Seventh International Conference on Software Testing, Verification and Validation",
Scaling regression testing to large software systems,"Alessandro, Nanjuan, Mary Jean",2004,10.1145/1029894.1029928,Proceedings of the 12th ACM SIGSOFT twelfth international symposium on Foundations of software engineering  - SIGSOFT '04/FSE-12,
Scented since the beginning: On the diffuseness of test smells in automatically generated test code,"Giovanni, Fabio, Dario, Andrea, Harald C.",2019-10,10.1016/j.jss.2019.07.016,Journal of Systems and Software,
SchemaAnalyst: Search-based test data generation for relational database schemas,"McMinn, P. and Wright, C.J. and Kinneer, C. and McCurdy, C.J. and Camara, M. and Kapfhammer, G.M.",2016,,2016 IEEE International Conference on Software Maintenance and Evolution (ICSME),McMinn2019
"Search-Based Software Testing: Past, Present and Future",Phil,2011-3,10.1109/ICSTW.2011.100,"2011 IEEE Fourth International Conference on Software Testing, Verification and Validation Workshops",
Search-based data-flow test generation,"Mattia, Andre, Alessandra, Gordon",2013-11,10.1109/ISSRE.2013.6698890,2013 IEEE 24th International Symposium on Software Reliability Engineering (ISSRE),
Search-based mutation testing for Simulink models,"Yuan, John A.",2005,10.1145/1068009.1068188,Proceedings of the 2005 conference on Genetic and evolutionary computation  - GECCO '05,
Search-based mutation testing for simulink models,"Zhan, Y. and Clark, J.A.",2005,,Proceedings of the 2005 conference on Genetic and evolutionary computation  - GECCO '05,Zhu2018
Search-based testing of relational schema integrity constraints across multiple database management systems,"Kapfhammer, G.M. and McMinn, P. and Wright, C.J.",2013,,"2013 IEEE Sixth International Conference on Software Testing, Verification and Validation",McMinn2019
Searching and generating test inputs for mutation testing,"Mike, Nicos",2013-3-21,10.1186/2193-1801-2-121,SpringerPlus,
Secret ninja testing with HALO software engineering,"Bell, J. and Sheth, S. and Kaiser, G.",2011,,Proceedings of the 4th international workshop on Social software engineering - SSE '11,Rojas2017
Seed model synthesis for testing model-based mutation operators,"Gómez-Abajo, P. and Guerra, E. and Lara, J. and Merayo, M.",2020,,"Advanced Information Systems Engineering, Lecture Notes in Business Information Processing",GomezAbajo2020
Selecting a Cost-Effective Test Case Prioritization Technique,"Sebastian, Gregg, Satya, Alexey G.",2004-9,10.1023/B:SQJO.0000034708.84524.22,Software Quality Journal,
Selecting a software engineering tool: lessons learnt from mutation analysis,"Mickaël, Lydie",2015-1-16,10.1002/spe.2312,Software: Practice and Experience,
Selective mutation testing for concurrent code,"Milos, Lingming, Cristiano, Gilles",2013-7-15,10.1145/2483760.2483773,Proceedings of the 2013 International Symposium on Software Testing and Analysis,
Seleção Automática de Casos de Teste de Regressão Baseada em Similaridade e Valores,"Francisco Gomes, Patrícia Duarte de Lima",2013-5-13,10.22456/2175-2745.25646,Revista de Informática Teórica e Aplicada,
Semi-automatic search-based test generation,"Pavlov, Y. and Fraser, G.",2012,,"2012 IEEE Fifth International Conference on Software Testing, Verification and Validation",Rojas2017
Sequential statistical procedures for approving test sets using mutation-based software testing,"Sahinoglu, M. and Spafford, E.H.",1990,,,Lindstroem2016
Seven Principles of Software Testing,"Meyer, B.",2008,,Computer,Bowes2017
Shared Execution for Efficiently Testing Product Lines,"Chang Hwan Peter, Sarfraz, Don",2012-11,10.1109/ISSRE.2012.23,2012 IEEE 23rd International Symposium on Software Reliability Engineering,
Smells in software test code: A survey of knowledge in industry and academia,"Vahid, Barış",2018-4,10.1016/j.jss.2017.12.013,Journal of Systems and Software,
Software Error Analysis: A Real Case Study Involving Real Faults and Mutations,"Daran, M. and Thévenod-Fosse, P.",1996,,,Inozemtseva2013
"Software Testing Research: Achievements, Challenges, Dreams",Antonia,2007-5,10.1109/FOSE.2007.25,Future of Software Engineering (FOSE '07),
Software Testing Techniques,"Beizer, B.",1990,,,Xie2006
Software Unit Test Coverage and Adequacy”,"Zhu, H. and Hall, P. and May, J.",1997,,ACM Computing Surveys,Godio2019
Software error analysis: A real case study involving real faults and mutations,"Daran, M. and Thévenod-Fosse, P.",1996,,,Gopinath2017a
Software fault interactions and implications for software testing,"Kuhn, D.R. and Wallace, D.R. and Gallo, Jr, A.M.",2004-06,,IEEE Transactions on Software Engineering,Felbinger2017
Software test-code engineering: A systematic mapping,"Vahid, Yasaman, Aysu",2015-2,10.1016/j.infsof.2014.06.009,Information and Software Technology,
Software testability: The new verification,"Voas, J.M. and Miller, K.W.",1995,,IEEE Software,Zhu2018
Software testing,"Kapfhammer, G.M.",2004,,,McMinn2019
"Software testing and analysis: process, principles, and techniques","Pezze, M. and Young, M.",2008,,Choice Reviews Online,Mirzaaghaei2014
Software testing based on formal specifications: a theory and a tool,"Bernot, Gilles and Gaudel, Marie Claude and Marre, Bruno",1991-11,,Software Engineering Journal,Harder2003
"Software testing research: Achievements, challenges, dreams","Bertolino, A.",2007,,Future of Software Engineering (FOSE '07),Tengeri2015
Software unit test coverage and adequacy,"Hong, Patrick A. V., John H. R.",1997-12,10.1145/267580.267590,ACM Computing Surveys,
Sound and quasi-complete detection of infeasible test requirements,"Bardin, S. and Delahaye, M. and David, R. and Kosmatov, N. and Papadakis, M. and Traon, Y.L. and Marion, J.Y.",2015-04,,"2015 IEEE 8th International Conference on Software Testing, Verification and Validation (ICST)",Holling2016
Sound empirical evidence in software testing,"Fraser, G. and Arcuri, A.",2012,,2012 34th International Conference on Software Engineering (ICSE),Just2014a
Specification-driven model transformation testing,"Guerra, E. and Soeken, M.",2015,,Software & Systems Modeling,GomezAbajo2020
Specifying and testing software components using ADL,"Hayes, Roger and Sankar, Sriram",1994-04,,,Harder2003
Speeding up Mutation Testing via Regression Test Selection: An Extensive Study,"Lingchao, Lingming",2018-4,10.1109/ICST.2018.00016,"2018 IEEE 11th International Conference on Software Testing, Verification and Validation (ICST)",
State Coverage: A Structural Test Adequacy Criterion for Behavior Checking Matching Checks to Definitions,"Koster, K. and Kao, D.",2007,,,Zhi2013
State Coverage: Software Validation Metrics beyond code coverage,"Vanoverberghe, D. and Halleux, J.D. and Tillmann, N. and Piessens, F.",2012,,"SOFSEM 2012: Theory and Practice of Computer Science, Lecture Notes in Computer Science",Zhi2013
State Coverage: Software Validation Metrics beyond code coverage - extended version,"Vanoverberghe, D. and Halleux, J.D. and Tillmann, N. and Piessens, F.",2011,,,Zhi2013
State aware test case regeneration for improving web application test suite coverage and fault detection,"Nadia, Mark",2012,10.1145/2338965.2336759,Proceedings of the 2012 International Symposium on Software Testing and Analysis - ISSTA 2012,
State coverage,"Ken, David",2007,10.1145/1295014.1295036,The 6th Joint Meeting on European software engineering conference and the ACM SIGSOFT symposium on the foundations of software engineering companion papers - ESEC-FSE companion '07,
State coverage for the dynamic analysis of concurrent programs,"Sherman, E.",2008,,,Sherman2009
State coverage: a structural test adequacy criterion for behavior checking,"Koster, K. and Kao, D.",2007,,,Mirzaaghaei2014
State of mutation testing at google,"Goran, Marko",2018-5-27,10.1145/3183519.3183521,Proceedings of the 40th International Conference on Software Engineering: Software Engineering in Practice,
State-space coverage estimation,"Taleghani, A. and Atlee, J.M.",2009,,2009 IEEE/ACM International Conference on Automated Software Engineering,Mirzaaghaei2014
Static analysis of mutant subsumption,"Bob, Paul, Jeff",2015-4,10.1109/ICSTW.2015.7107454,"2015 IEEE Eighth International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",
Strong higher order mutation-based test data generation,"Mark, Yue, William B.",2011,10.1145/2025113.2025144,Proceedings of the 19th ACM SIGSOFT symposium and the 13th European conference on Foundations of software engineering - SIGSOFT/FSE '11,
Structural Coverage Criteria for Neural Networks Could Be Misleading,"Zenan, Xiaoxing, Chang, Chun",2019-5,10.1109/ICSE-NIER.2019.00031,2019 IEEE/ACM 41st International Conference on Software Engineering: New Ideas and Emerging Results (ICSE-NIER),
Structural Specification-Based Testing: Automated Support and Experimental Evaluation,"Juei, Debra J.",1999,10.1007/3-540-48166-4_18,"Software Engineering — ESEC/FSE ’99, Lecture Notes in Computer Science",
Structural specification-based testing with ADL,"Chang, Juei and Richardson, Debra J. and Sankar, Sriram",1996,,Proceedings of the 1996 international symposium on Software testing and analysis  - ISSTA '96,Harder2003
Structural specification-based testing: Automated support and experimental evaluation,"Chang, Juei and Richardson, Debra J.","September 6–10, 1999",,,Harder2003
Structural testing criteria for message-passing parallel programs,"S. R. S., S. R., P. S. L., A. S., A. C.",2008-11,10.1002/cpe.1297,Concurrency and Computation: Practice and Experience,
Structural testing of concurrent programs,"Taylor, R.N. and Levine, D.L. and Kelly, C.D.",1992,,,Sherman2009
Subsumption of condition coverage techniques by mutation testing,"Offutt, A.J. and Voas, J.M.",1996,,,Parsai2016
Sufficient Mutation Operators for Measuring Test Effectiveness,"Namin, A.S. and Andrews, J.H. and Murdoch, D.J.",2008,,Proceedings of the 13th international conference on Software engineering  - ICSE '08,Inozemtseva2013
Sufficient mutation operators for measuring test effectiveness,"Akbar, James H., Duncan J.",2008,10.1145/1368088.1368136,Proceedings of the 13th international conference on Software engineering  - ICSE '08,
Supporting Controlled Experimentation with Testing Techniques: An Infrastructure and its Potential Impact,"Hyunsook, Sebastian, Gregg",2005-10,10.1007/s10664-005-3861-2,Empirical Software Engineering,
Supporting controlled experimentation with testing techniques: An infrastructure and its potential impact,"Do, H. and Elbaum, S. and Rothermel, G.",2005,,Empirical Software Engineering,Zhang2013
Swarm testing,"Alex, Chaoqiang, Eric, Yang, John",2012,10.1145/2338965.2336763,Proceedings of the 2012 International Symposium on Software Testing and Analysis - ISSTA 2012,
Symbolic execution and program testing,James C.,1976-7,10.1145/360248.360252,Communications of the ACM,
Symbolic execution for software testing in practice,"Cristian, Patrice, Sarfraz, Corina S., Koushik, Nikolai, Willem",2011-5-21,10.1145/1985793.1985995,Proceedings of the 33rd International Conference on Software Engineering,
Symbolic execution for software testing: Three decades later,"Cadar, C. and Sen, K.",2013-02,,,Holling2016
Symstra: A framework for generating object-oriented unit tests using symbolic execution,"Xie, T. and Marinov, D. and Schulte, W. and Noktin, D.",2005-04,,"Tools and Algorithms for the Construction and Analysis of Systems, Lecture Notes in Computer Science",Xie2006
Systematic XACML Request Generation for Testing Purposes,"Bertolino, A. and Lonetti, F. and Marchetti, E.",2010,,2010 36th EUROMICRO Conference on Software Engineering and Advanced Applications,Daoudagh2015
Taming Google-scale continuous testing,"Atif, , , Sanjeev, Eric, Rob, John",2017-5,10.1109/ICSE-SEIP.2017.16,2017 IEEE/ACM 39th International Conference on Software Engineering: Software Engineering in Practice Track (ICSE-SEIP),
Teaching Mutation Testing using Gamification,"Rojas, J.M. and Fraser, G.",2016,,,Rojas2017
Test Driven Development: By Example,"Beck, K.",2002,,,Bowes2017
Test Input Generation for Java Containers using State Matching”,"Visser, W. and Pasareanu, C.S. and Pelánek, R.",2006,,Proceedings of the 2006 international symposium on Software testing and analysis  - ISSTA'06,Godio2019
Test Input Generation with Java PathFinder”,"Visser, W. and Pasareanu, C.S. and Khurshid, S.",2004,,Proceedings of the 2004 ACM SIGSOFT international symposium on Software testing and analysis  - ISSTA '04,Godio2019
Test Suite Reduction with Selective Redundancy,"Jeffrey, D. and Gupta, N.",2005,,21st IEEE International Conference on Software Maintenance (ICSM'05),RealesMateo2013
Test case prioritization: An empirical study,"Rothermel, G. and Untch, R.H. and Chu, C. and Harrold, M.J.",1999,,,Gopinath2017a
Test case prioritization: a family of empirical studies,"S., A.G., G.",2002,10.1109/32.988497,IEEE Transactions on Software Engineering,
Test case quality in test driven development: A study design and a pilot experiment,"Causevic, A. and Sundmark, D. and Punnekkat, S.",2012,,16th International Conference on Evaluation & Assessment in Software Engineering (EASE 2012),Bowes2017
Test code quality and its relation to issue handling performance,"Athanasiou, D. and Nugroho, A. and Visser, J. and Zaidman, A.",2014-11,,IEEE Transactions on Software Engineering,Tengeri2016
Test coverage and post- verification defects: A multiple case study,"Mockus, A. and Nagappan, N. and Dinh-Trong, T.",2009,,2009 3rd International Symposium on Empirical Software Engineering and Measurement,Kracht2014
Test coverage and post-verification defects: A multiple case study,"Audris, Nachiappan, Trung T.",2009-10,10.1109/ESEM.2009.5315981,2009 3rd International Symposium on Empirical Software Engineering and Measurement,
Test coverage of impacted code elements for detecting refactoring faults: An exploratory study,"Everton L.G., Tiago, Patrícia Duarte de Lima",2017-1,10.1016/j.jss.2016.02.001,Journal of Systems and Software,
"Test early, test often”","McGregor, J.D.",2007-05,,The Journal of Object Technology,Parsai2016
Test generation through programming in UDITA,"Milos, Tihomir, Vilas, Sarfraz, Viktor, Darko",2010,10.1145/1806799.1806835,Proceedings of the 32nd ACM/IEEE International Conference on Software Engineering - ICSE '10,
Test generation via Dynamic Symbolic Execution for mutation testing,"Lingming, Tao, Lu, Nikolai, Jonathan, Hong",2010-9,10.1109/ICSM.2010.5609672,2010 IEEE International Conference on Software Maintenance,
Test generation via dynamic symbolic execution for mutation testing,"Zhang, L. and Xie, T. and Zhang, L. and Tillmann, N. and Halleux, J. and Mei, H.",2010,,2010 IEEE International Conference on Software Maintenance,Just2014a
Test input generation for Java containers using state matching,"W. Visser, C. S. Păsăreanu and Pelánek., R.",2006-07,,Proceedings of the 2006 international symposium on Software testing and analysis  - ISSTA'06,Robinson2011
Test input generation for java containers using state matching,"Willem, Corina S., Radek",2006,10.1145/1146238.1146243,Proceedings of the 2006 international symposium on Software testing and analysis  - ISSTA'06,
Test input generation with Java PathFinder,"Visser, W. and Pasareanu, C.S. and Khurshid, S.",2004,,Proceedings of the 2004 ACM SIGSOFT international symposium on Software testing and analysis  - ISSTA '04,Xie2006
Test suite evaluation using code coverage based metrics,"Horváth, F. and Vancsics, B. and Vidács, L. and Beszédes, Á. and Tengeri, D. and Gergely, T. and Gyimóthy, T.",2015-10,,,Tengeri2016
Test suite prioritization by interaction coverage,"Bryce, R.C. and Memon, A.M.",2007,,,Mirzaaghaei2014
Test suite reduction for fault detection and localization: A combined approach,"Vidács, L. and Beszédes, Á. and Tengeri, D. and Siket, I. and Gyimóthy, T.",2014,,"2014 Software Evolution Week - IEEE Conference on Software Maintenance, Reengineering, and Reverse Engineering (CSMR-WCRE)",Tengeri2015
Test-Data Generation Guided by Static Defect Detection,"Dan, Lu, Ming-Hao, He, Jia-Su",2009-3,10.1007/s11390-009-9224-5,Journal of Computer Science and Technology,
Test-Suite Augmentation for Evolving Software,"Raul, Pavan Kumar, Taweesup, Alessandro, Mary Jean",2008-9,10.1109/ASE.2008.32,2008 23rd IEEE/ACM International Conference on Automated Software Engineering,
Test-case generation for embedded simulink via formal concept analysis,"He, N. and Rümmer, P. and Kroening, D.",2011,,Proceedings of the 48th Design Automation Conference on - DAC '11,Zhu2018
Test-suite reduction and prioritization for modified condition/decision coverage,"Jones, James A. and Harrold, Mary Jean","November 6–10, 2001",,Proceedings IEEE International Conference on Software Maintenance. ICSM 2001,Harder2003
Test-suite reduction does not necessarily require executing the program under test,"Felbinger, H. and Wotawa, F. and Nica, M.",2016-08,,"2016 IEEE International Conference on Software Quality, Reliability and Security Companion (QRS-C)",Felbinger2017
Test-suite reduction for model based tests: Effects on test quality and implications for testing,"Heimdahl, M.P. and Devaraj, G.",2004-09,,"Proceedings. 19th International Conference on Automated Software Engineering, 2004.",Rajan2008
TestEra: A novel framework for automated testing of Java programs,"Marinov, D. and Khurshid, S.",2001,,Proceedings 16th Annual International Conference on Automated Software Engineering (ASE 2001),Kracht2014
TestEra: Specification-Based Testing of Java Programs Using SAT,"Sarfraz, Darko",2004-10,10.1023/B:AUSE.0000038938.10589.b9,Automated Software Engineering,
TestEra: Specification-Based Testing of Java Programs Using SAT”,"Khurshid, S. and Marinov, D.",2004,,Automated Software Engineering,Godio2019
Testability explorer: using byte-code analysis to engineer lasting social changes in an organization’s software development process,"Hevery, M.",2008,,,Aaltonen2010
Testability transformation,"Harman, M. and Hu, L. and Hierons, R. and Wegener, J. and Sthamer, H. and Baresel, A. and Roper, M.",2004,,,Gligoric2017
Testing Container Classes: Random or Systematic?,"Rohan, Milos, Andrea, Gordon, Darko",2011,10.1007/978-3-642-19811-3_19,"Fundamental Approaches to Software Engineering, Lecture Notes in Computer Science",
Testing Programs with the Aid of a Compiler,R.G.,1977-7,10.1109/TSE.1977.231145,IEEE Transactions on Software Engineering,
Testing Programs with the Aid of a Compiler”,"Hamlet, R.",1977-07,,IEEE Transactions on Software Engineering,Parsai2016
Testing concurrent Java programs using randomized scheduling,"Stoller, S.D.",2002-07,,Electronic Notes in Theoretical Computer Science,Sherman2009
Testing container classes: Random or systematic?,"Sharma, R. and Gligoric, M. and Arcuri, A. and Fraser, G. and Marinov, D.",2011,,"Fundamental Approaches to Software Engineering, Lecture Notes in Computer Science",Zhang2013
Testing container classes: random or systematic?,"Sharma, R. and Gligoric, M. and Arcuri, A. and Fraser, G. and Marinov, D.",2011,,"Fundamental Approaches to Software Engineering, Lecture Notes in Computer Science",Godio2019
Testing context-aware middleware-centric programs: a data flow approach and an RFID-based experimentation,"Lu, H. and Chan, W. and Tse, T.",2006,,,Zhu2018
Testing first: emphasizing testing in early programming courses,"Marrero, W. and Settle, A.",2005,,,Aaltonen2010
Testing models and model transformations using classifying terms,"Hilken, F. and Gogolla, M. and Burgueño, L. and Vallecillo, A.",2018,,,GomezAbajo2020
Testing programs with the aid of a compiler,"Hamlet, R.G.",1977,,IEEE Transactions on Software Engineering,Kracht2014
Testing real-time embedded software using uppaal-tron: an industrial case study,"Larsen, K.G. and Mikucionis, M. and Nielsen, B. and Skou, A.",2005,,,Zhu2018
Testing security policies: going beyond functional testing,"Traon, Y.Le and Mouelhi, T. and Baudry, B.",2007,,The 18th IEEE International Symposium on Software Reliability (ISSRE '07),Daoudagh2015
Testing when mobile apps go to background and come back to foreground,"Paiva, A.C. and Gouveia, J.M. and Elizabeth, J.-D. and Delamaro, M.E.",2019,,"2019 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",EscobarVelasquez2019
Testing with respect to concerns,"Souter, A.L. and Shepherd, D. and Pollock, L.L.",2003,,,Xie2006
Testq: Exploring structural and maintenance characteristics of unit test suites,"Breugelmans, M. and Rompaey, B.V.",2008-07,,,Bowes2017
The Art of Application Performance Testing,"Molyneaux, I.",2009-01,,,Bruenink2018
The Art of Software Testing,"Myers, G.J.",1979,,,Gopinath2017a
The Art of Unit Testing With Examples in .NET,"Osherove, R.",2009,,,Bowes2017
The Economics of Unit Testing,"Ellims, M. and Bridges, J. and Ince, D.C.",2006-02,,,Bowes2017
The Effects of Test-Driven Development on External Quality and Productivity: A Meta-Analysis,"Yahya, Vojislav B.",2013-6,10.1109/TSE.2012.28,IEEE Transactions on Software Engineering,
The Impact of Equivalent Mutants,"Bernhard J. M., David, Andreas",2009,10.1109/ICSTW.2009.37,"2009 International Conference on Software Testing, Verification, and Validation Workshops",
The Impact of Equivalent Mutants”,"Grun, B. and Schuler, D. and Zeller, A.",2009,,"2009 International Conference on Software Testing, Verification, and Validation Workshops",Parsai2016
The Major mutation framework: Efficient and scalable mutation analysis for Java,"Just, R.",2014,,Proceedings of the 2014 International Symposium on Software Testing and Analysis - ISSTA 2014,Just2014a
The Mothra Software Testing Environment,"DeMillo, R.A. and Spafford, E.H.",1986,,,RealesMateo2013
The Mothra software testing environment users manual,"DeMillo, R. and Martin, R.",1987,,,Zhang2013
The Mothra software testing environment user’s manual,"DeMillo, R.A. and Martin, R.J.",1987,,,Zhang2012
The Mothra tool set (software testing),"B.J., R.A., E.W., R.J., A.P., A.J., H., E.H.",,10.1109/HICSS.1989.48002,[1989] Proceedings of the Twenty-Second Annual Hawaii International Conference on System Sciences. Volume II: Software Track,
The Risks of Coverage-Directed Test Case Generation,"Gregory, Matt, Michael, Mats P. E.",2015-8-1,10.1109/TSE.2015.2421011,IEEE Transactions on Software Engineering,
The art of software testing,"Myers, Glenford J. and Sandler, Corey and Badgett, Tom",2011,,,Gergely2018
The category-partition method for specifying and generating functional tests,"Ostrand, T.J. and Balcer, M.J.",1988-06,,Communications of the ACM,Harder2003
The chaining approach for software test data generation,"Ferguson, R. and Korel, B.",1996-01,,,Robinson2011
The class-level mutants of MuJava,"Jeff, Yu-Seung, Yong-Rae",2006,10.1145/1138929.1138945,Proceedings of the 2006 international workshop on Automation of software test  - AST '06,
The csaw c mutation tool: Initial results,"Ellims, M. and Ince, D. and Petre, M.",2007-09,,Testing: Academic and Industrial Conference Practice and Research Techniques - MUTATION (TAICPART-MUTATION 2007),Holling2016
The dynamic domain reduction approach to test data generation,"Offutt, A.J. and Jin, Z. and Pan, J.",1999,,,Zhang2012
The dynamic domain reduction procedure for test data generation,"Offutt, A.J. and Jin, Z. and Pan, J.",1999,,Software: Practice and Experience,Zhang2013
The economic impacts of inadequate infrastructure for software testing,"Tassey, G.",2002,,,Kracht2014
The effect of code coverage on fault detection under different testing profiles,"Xia, Michael R.",2005-7,10.1145/1082983.1083288,ACM SIGSOFT Software Engineering Notes,
The effectiveness of t-way test data generation,"Ellims, M. and Ince, D. and Petre, M.",2008,,"Lecture Notes in Computer Science, Computer Safety, Reliability, and Security",Felbinger2017
The effectiveness of test coverage criteria for relational database schema integrity constraints,"McMinn, P. and Wright, C.J. and Kapfhammer, G.M.",2015,,ACM Transactions on Software Engineering and Methodology,McMinn2019
The evaluation of program-based software test data adequacy criteria,"Weyuker, E.J.",1988,,Communications of the ACM,Kracht2014
The growth of software testing,"Gelperin, D. and Hetzel, B.",1988,,,Kracht2014
The impact of Test-First programming on branch coverage and mutation score indicator of unit tests: An experiment,Lech,2010-2,10.1016/j.infsof.2009.08.007,Information and Software Technology,
The impact of equivalent mutants,"Grun, B. and Schuler, D. and Zeller, A.",2009,,"2009 International Conference on Software Testing, Verification, and Validation Workshops",McMinn2019
"The impact of equivalent, redundant and quasi mutants on database schema mutation analysis","Wright, C.J.",2014,,2014 14th International Conference on Quality Software,McMinn2019
The impact of fault type on the relationship between code coverage and fault detection,"Amanda, Michael",2016,10.1145/2896921.2896926,Proceedings of the 11th International Workshop on Automation of Software Test - AST '16,
The influence of size and coverage on test suite effectiveness,"Akbar Siami, James H.",2009,10.1145/1572272.1572280,Proceedings of the eighteenth international symposium on Software testing and analysis - ISSTA '09,
The major mutation framework: Efficient and scalable mutation analysis for Java,"Just, R.",2014,,Proceedings of the 2014 International Symposium on Software Testing and Analysis - ISSTA 2014,Lindstroem2016
The major mutation framework: efficient and scalable mutation analysis for Java,René,2014,10.1145/2610384.2628053,Proceedings of the 2014 International Symposium on Software Testing and Analysis - ISSTA 2014,
The risks of coverage-directed test case generation,"Gay, G. and Staats, M. and Whalen, M. and Heimdahl, M.P.E.",2015-08,,,Bruenink2018
The use of mutation in testing experiments and its sensitivity to external threats,"Akbar Siami, Sahitya",2011,10.1145/2001420.2001461,Proceedings of the 2011 International Symposium on Software Testing and Analysis - ISSTA '11,
Theoretical and empirical studies on using program mutation to test the functional correctness of programs,"Timothy A., Richard A., Richard J., Frederick G.",1980,10.1145/567446.567468,Proceedings of the 7th ACM SIGPLAN-SIGACT symposium on Principles of programming languages  - POPL '80,
Threats to the validity and value of empirical assessments of the accuracy of coverage-based fault locators,"Friedrich, Marcus, Rui",2013-7-15,10.1145/2483760.2483767,Proceedings of the 2013 International Symposium on Software Testing and Analysis,
Threats to the validity of mutation-based test assessment,"Papadakis, M. and Henard, C. and Harman, M. and Jia, Y. and Traon, Y.Le",2016,,Proceedings of the 25th International Symposium on Software Testing and Analysis,McMinn2019
Tool support for unit testing of aspect-oriented software,"Zhao, J.",2002-11,,,Xie2006
Tool-assisted unit test generation and selection based on operational abstractions,"Xie, T. and Notkin, D.",2006-07,,Automated Software Engineering,Robinson2011
Tools and techniques for Java API testing,"Hoffman, Daniel and Strooper, Paul",2000,,Proceedings 2000 Australian Software Engineering Conference,Harder2003
Toolset and Program Repository for Code Coverage-Based Test Suite Analysis and Manipulation,"David, Arpad, David, Tibor",2014-9,10.1109/SCAM.2014.38,2014 IEEE 14th International Working Conference on Source Code Analysis and Manipulation,
